model,temperature,load,run_dir,metric,mean,min,max,std,median
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_040131,wokloads_with_pending_pods,0.0886276973184308,0.0,0.43,0.1483124016869962,0.0
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_044240,cost,0.17696,0.17024,0.21728,0.0099750468330747,0.17024
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_044240,cpu_usage,0.9745166666666668,0.0,1.817,0.4469242339636047,1.1
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_044240,mem_usage,0.96485,0.0,1.799,0.4424359313955305,1.089
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_044240,number_of_migrations,196.8,0.0,414.0,149.6636228346755,186.0
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_044240,pending_pods,37.333333333333336,0.0,214.0,69.40611673006941,0.0
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_044240,time_with_pending,0.4666666666666667,0.0,1.0,0.5030977485864635,0.0
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_044240,wokloads_with_pending_pods,0.0772147871395017,0.0,0.3647058823529411,0.1258157724465238,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,cost,0.1791626666666667,0.17024,0.20832,0.0110084685224167,0.17024
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,cpu_usage,0.9695666666666666,0.168,1.775,0.4178841931325667,1.049
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,mem_usage,0.9600166666666666,0.166,1.757,0.4137108829034698,1.039
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,number_of_migrations,214.8,0.0,414.0,148.6378148386204,234.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,pending_pods,47.05,0.0,254.0,85.60184240849505,7.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,time_with_pending,0.5166666666666667,0.0,1.0,0.503939284299098,1.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,wokloads_with_pending_pods,0.1037303230768847,0.0,0.45,0.1561271277038203,0.0285714285714285
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,cost,0.1787893333333334,0.17024,0.1904,0.0087825709271485,0.17472
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,cpu_usage,0.9580499999999998,0.188,1.651,0.4062234262495188,1.0075
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,mem_usage,0.9486,0.186,1.635,0.4021558513978869,0.9975
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,number_of_migrations,184.8,30.0,300.0,105.76010590009828,180.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,pending_pods,47.91666666666666,0.0,244.0,85.68177063535184,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,time_with_pending,0.45,0.0,1.0,0.5016920522135441,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,wokloads_with_pending_pods,0.0972095315813975,0.0,0.4352941176470588,0.1614578123700418,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,cost,0.178416,0.17024,0.20832,0.0106338537109442,0.17024
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,cpu_usage,0.9539666666666666,0.0,1.601,0.4209465510846436,1.018
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,mem_usage,0.9446166666666668,0.0,1.586,0.4168136636747753,1.008
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,number_of_migrations,217.2,0.0,420.0,150.9807934804954,234.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,pending_pods,46.98333333333333,0.0,244.0,80.87623766724714,10.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,time_with_pending,0.5833333333333334,0.0,1.0,0.4971671160112441,1.0
