model,temperature,load,run_dir,metric,mean,min,max,std,median
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_155300,mem_usage,1.1044166666666666,0.2,1.802,0.5130849631187132,1.277
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_155300,number_of_migrations,28.5,0.0,96.0,45.79301256742124,9.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_155300,pending_pods,9.783333333333331,0.0,64.0,22.06238586500782,0.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_155300,time_with_pending,0.2166666666666666,0.0,1.0,0.4154502016565846,0.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_155300,wokloads_with_pending_pods,0.0201472179781003,0.0,0.1515151515151515,0.0435705691653068,0.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_163432,cost,0.1702399999999999,0.17024,0.17024,1.3994902017522592e-16,0.17024
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_163432,cpu_usage,0.9870666666666668,0.168,1.589,0.4063012519604547,1.1084999999999998
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_163432,mem_usage,0.9773499999999998,0.166,1.573,0.4022485876559251,1.0975
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_163432,number_of_migrations,82.5,0.0,180.0,75.0,75.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_163432,pending_pods,52.96666666666667,0.0,250.0,84.92149249162807,10.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_163432,time_with_pending,0.65,0.0,1.0,0.4809947319913076,1.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_163432,wokloads_with_pending_pods,0.1170332402812241,0.0,0.43,0.1516214236915763,0.0285714285714285
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_171524,cost,0.1741226666666667,0.17024,0.18144,0.0046817401757729,0.17024
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_171524,cpu_usage,1.0820666666666667,0.165,1.719,0.5077005946276908,1.3355
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_171524,mem_usage,1.0718,0.163,1.703,0.5028136022862426,1.323
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_171524,number_of_migrations,88.5,36.0,210.0,81.59044061653302,54.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_171524,pending_pods,18.683333333333334,0.0,100.0,34.34594277801579,0.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_171524,time_with_pending,0.4,0.0,1.0,0.4940321817555709,0.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_171524,wokloads_with_pending_pods,0.039014720959351,0.0,0.2236842105263158,0.0633784414794738,0.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_175555,cost,0.1702399999999999,0.17024,0.17024,1.3994902017522592e-16,0.17024
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_175555,cpu_usage,1.0359000000000005,0.206,1.637,0.4314528353743228,1.215
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_175555,mem_usage,1.0257666666666667,0.203,1.621,0.4272360268035341,1.203
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_175555,number_of_migrations,130.5,30.0,264.0,111.32385189167684,114.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_175555,pending_pods,38.18333333333333,0.0,244.0,82.40957893694748,0.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_175555,time_with_pending,0.2833333333333333,0.0,1.0,0.4544196025054845,0.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_175555,wokloads_with_pending_pods,0.0751724215327156,0.0,0.4117647058823529,0.1466803159437856,0.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_183627,cost,0.1702399999999999,0.17024,0.17024,1.3994902017522592e-16,0.17024
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_183627,cpu_usage,1.1035,0.205,1.719,0.4865225446376331,1.249
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_183627,mem_usage,1.0929333333333335,0.204,1.703,0.481780555808142,1.238
